MOLECULE_NAME,MECHANISM_OF_ACTION,TARGET_NAME
Sugammadex,Rocuronium sequestering agent,Rocuronium
Doramapimod,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Ct-1578,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Gdc-0994,MAP kinase ERK2 inhibitor,MAP kinase ERK2
Jnj-26483327,Tyrosine-protein kinase FYN inhibitor,Tyrosine-protein kinase FYN
Rp-6530,PI3-kinase p110-delta subunit inhibitor,PI3-kinase p110-delta subunit
Rp-6530,PI3-kinase p110-gamma subunit inhibitor,PI3-kinase p110-gamma subunit
Tak-901,Serine/threonine-protein kinase Aurora-B inhibitor,Serine/threonine-protein kinase Aurora-B
Bpi-9016,Tyrosine-protein kinase receptor UFO inhibitor,Tyrosine-protein kinase receptor UFO
Apd334,Sphingosine 1-phosphate receptor Edg-1 agonist,Sphingosine 1-phosphate receptor Edg-1
Ordopidine,Dopamine D2 receptor modulator,Dopamine D2 receptor
Apn1125,Neuronal acetylcholine receptor protein alpha-7 subunit partial agonist,Neuronal acetylcholine receptor protein alpha-7 subunit
Amg-337,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
Varlitinib,Receptor protein-tyrosine kinase erbB-2 inhibitor,Receptor protein-tyrosine kinase erbB-2
Dactolisib,Serine/threonine-protein kinase mTOR inhibitor,Serine/threonine-protein kinase mTOR
Bms-690514,Receptor protein-tyrosine kinase erbB-4 inhibitor,Receptor protein-tyrosine kinase erbB-4
Seliciclib,Cyclin-dependent kinase 2 inhibitor,Cyclin-dependent kinase 2
Foretinib,Platelet-derived growth factor receptor inhibitor,Platelet-derived growth factor receptor
Tesevatinib,Receptor protein-tyrosine kinase erbB-2 inhibitor,Receptor protein-tyrosine kinase erbB-2
Azd2207,Cannabinoid CB1 receptor antagonist,Cannabinoid CB1 receptor
Tarafenacin,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Imetelstat Sodium,Telomerase reverse transcriptase inhibitor,Telomerase reverse transcriptase
Delamanid,Mycobacterium tuberculosis H37Rv inhibitor,Mycobacterium tuberculosis H37Rv
Fasiglifam,Free fatty acid receptor 1 positive allosteric modulator,Free fatty acid receptor 1
Pardoprunox,Serotonin 1a (5-HT1a) receptor agonist,Serotonin 1a (5-HT1a) receptor
Conbercept,Vascular endothelial growth factor A inhibitor,Vascular endothelial growth factor A
Clazakizumab,Interleukin-6 inhibitor,Interleukin-6
Tucotuzumab Celmoleukin,Epithelial cell adhesion molecule other,Epithelial cell adhesion molecule
Mlnm-2201,Integrin beta-2 inhibitor,Integrin beta-2
Sch-708980,Interleukin-10 inhibitor,Interleukin-10
Iph-2101,Killer cell immunoglobulin-like receptor 2DL2 inhibitor,Killer cell immunoglobulin-like receptor 2DL2
Dasatinib,Platelet-derived growth factor receptor beta inhibitor,Platelet-derived growth factor receptor beta
Insulin Zinc Susp Prompt Purified Pork,Insulin receptor agonist,Insulin receptor
Insulin Zinc Susp Purified Beef,Insulin receptor agonist,Insulin receptor
Iloperidone,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Cyclobenzaprine,Serotonin 2c (5-HT2c) receptor antagonist,Serotonin 2c (5-HT2c) receptor
Glucagon,Glucagon receptor agonist,Glucagon receptor
Nimodipine,Mineralocorticoid receptor antagonist,Mineralocorticoid receptor
Diflorasone Diacetate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Budesonide,Glucocorticoid receptor agonist,Glucocorticoid receptor
Zoledronic Acid,Farnesyl diphosphate synthase inhibitor,Farnesyl diphosphate synthase
Ibandronic Acid,Farnesyl diphosphate synthase inhibitor,Farnesyl diphosphate synthase
Diflunisal,Cyclooxygenase inhibitor,Cyclooxygenase
Tolbutamide,"Sulfonylurea receptor 1, Kir6.2 blocker","Sulfonylurea receptor 1, Kir6.2"
Levobunolol,Beta-2 adrenergic receptor antagonist,Beta-2 adrenergic receptor
Fosaprepitant,Neurokinin 1 receptor antagonist,Neurokinin 1 receptor
Foscarnet,Human herpesvirus 1 DNA polymerase inhibitor,Human herpesvirus 1 DNA polymerase
Rapacuronium,Muscle-type nicotinic acetylcholine receptor antagonist,Muscle-type nicotinic acetylcholine receptor
Methoxyflurane,Glycine receptor (alpha-1/beta) agonist,Glycine receptor (alpha-1/beta)
Moxifloxacin,Topoisomerase IV inhibitor,Topoisomerase IV
Cefotaxime,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Succimer,Lead chelating agent,Lead
Thiotepa,DNA inhibitor,DNA
Adefovir Dipivoxil,DNA polymerase/reverse transcriptase inhibitor,DNA polymerase/reverse transcriptase
Mexiletine,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Chlorpromazine,D2-like dopamine receptor antagonist,D2-like dopamine receptor
Risperidone,Dopamine D2 receptor antagonist,Dopamine D2 receptor
Levofloxacin,Topoisomerase IV inhibitor,Topoisomerase IV
Cryptenamine Acetates,Unknown,
Tyloxapol,Surfactant agent,
Dienogest,Unknown,
Procaine Benzylpenicillin,Unknown,
Finafloxacin,DNA gyrase inhibitor,DNA gyrase
Deoxycholic Acid,Cell membrane disrupting agent,Cell membrane
Daratumumab,Lymphocyte differentiation antigen CD38 inhibitor,Lymphocyte differentiation antigen CD38
Ast-487,Tyrosine-protein kinase receptor RET inhibitor,Tyrosine-protein kinase receptor RET
Azd-1208,Serine/threonine-protein kinase PIM inhibitor,Serine/threonine-protein kinase PIM
Azd-8330,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor,Dual specificity mitogen-activated protein kinase kinase 1
Ds-7423,PI3-kinase class I inhibitor,PI3-kinase class I
Pf-00477736,Serine/threonine-protein kinase Chk1 inhibitor,Serine/threonine-protein kinase Chk1
Tas-119,Serine/threonine-protein kinase Aurora-A inhibitor,Serine/threonine-protein kinase Aurora-A
Ly2881835,Free fatty acid receptor 1 agonist,Free fatty acid receptor 1
Rg7185,G protein-coupled receptor 44 antagonist,G protein-coupled receptor 44
Palovarotene,Retinoic acid receptor gamma agonist,Retinoic acid receptor gamma
Telatinib,Vascular endothelial growth factor receptor 2 inhibitor,Vascular endothelial growth factor receptor 2
Enmd-2076,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Mgcd-265,Vascular endothelial growth factor receptor inhibitor,Vascular endothelial growth factor receptor
Riviciclib,Cyclin-dependent kinase 1 inhibitor,Cyclin-dependent kinase 1
Gw842166x,Cannabinoid CB2 receptor agonist,Cannabinoid CB2 receptor
Burixafor,C-X-C chemokine receptor type 4 antagonist,C-X-C chemokine receptor type 4
Lesogaberan,GABA-B receptor 1 agonist,GABA-B receptor 1
Ssr180711,Neuronal acetylcholine receptor protein alpha-7 subunit partial agonist,Neuronal acetylcholine receptor protein alpha-7 subunit
Aleglitazar,Peroxisome proliferator-activated receptor alpha agonist,Peroxisome proliferator-activated receptor alpha
Tesaglitazar,Peroxisome proliferator-activated receptor alpha agonist,Peroxisome proliferator-activated receptor alpha
Quizartinib,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Lestaurtinib,NT-3 growth factor receptor inhibitor,NT-3 growth factor receptor
Anamorelin,Ghrelin receptor agonist,Ghrelin receptor
Terutroban,Thromboxane A2 receptor antagonist,Thromboxane A2 receptor
Flindokalner,Voltage-gated potassium channel subunit Kv7.5 activator,Voltage-gated potassium channel subunit Kv7.5
Brodalumab,Interleukin-17 receptor A antagonist,Interleukin-17 receptor A
Rucaparib,"PARP 1, 2 and 3 inhibitor","PARP 1, 2 and 3"
Bimagrumab,Activin receptor type-2B antagonist,Activin receptor type-2B
Anrukinzumab,Interleukin-13 inhibitor,Interleukin-13
Aselizumab,Leukocyte adhesion molecule-1 inhibitor,Leukocyte adhesion molecule-1
Erlizumab,Integrin beta-2 negative modulator,Integrin beta-2
L19sip,Fibronectin other,Fibronectin
Artemisinin,Unknown,
Axomadol,Kappa opioid receptor agonist,Kappa opioid receptor
Protirelin,Thyrotropin-releasing hormone receptor agonist,Thyrotropin-releasing hormone receptor
Triprolidine,Histamine H1 receptor antagonist,Histamine H1 receptor
Leuprolide,Gonadotropin-releasing hormone receptor agonist,Gonadotropin-releasing hormone receptor
Leflunomide,Dihydroorotate dehydrogenase inhibitor,Dihydroorotate dehydrogenase
Hydrocortisone Cypionate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Hydrocortisone Acetate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Ursodiol,Bile acid receptor FXR agonist,Bile acid receptor FXR
Ethinyl Estradiol,Estrogen receptor alpha agonist,Estrogen receptor alpha
Trilostane,3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type II inhibitor,3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type II
Ponatinib,Breakpoint cluster region protein inhibitor,Breakpoint cluster region protein
Ribavirin,Hepatitis C virus NS5B RNA-dependent RNA polymerase inhibitor,Hepatitis C virus NS5B RNA-dependent RNA polymerase
Aflibercept,Placenta growth factor inhibitor,Placenta growth factor
Theophylline,Phosphodiesterase 3 inhibitor,Phosphodiesterase 3
Etoposide,DNA topoisomerase II inhibitor,DNA topoisomerase II
Vidarabine,Human herpesvirus 1 DNA polymerase inhibitor,Human herpesvirus 1 DNA polymerase
Dinoprostone,Prostaglandin E2 receptor agonist,Prostaglandin E2 receptor
Cephalothin,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Cefdinir,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
"Fibrinolysin, Human",Fibrinogen inhibitor,Fibrinogen
Isoflurane,Potassium channel subfamily K member 9 opener,Potassium channel subfamily K member 9
Fidaxomicin,DNA-directed RNA polymerase inhibitor,DNA-directed RNA polymerase
Vortioxetine,Serotonin 3a (5-HT3a) receptor antagonist,Serotonin 3a (5-HT3a) receptor
Ibrutinib,Tyrosine-protein kinase BTK inhibitor,Tyrosine-protein kinase BTK
Oritavancin,Peptidoglycan inhibitor,Peptidoglycan
Empagliflozin,Sodium/glucose cotransporter 2 inhibitor,Sodium/glucose cotransporter 2
Lanthanum Carbonate,Phosphate sequestering agent,Phosphate
Pasireotide,Somatostatin receptor 1 agonist,Somatostatin receptor 1
Tenofovir Alafenamide,Human immunodeficiency virus type 1 reverse transcriptase inhibitor,Human immunodeficiency virus type 1 reverse transcriptase
Cudc-907,PI3-kinase p110-beta subunit inhibitor,PI3-kinase p110-beta subunit
Nms-1286937,Serine/threonine-protein kinase PLK1 inhibitor,Serine/threonine-protein kinase PLK1
Sc-80036,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Sf-1126,PI3-kinase class I inhibitor,PI3-kinase class I
Tak-960,Serine/threonine-protein kinase PLK1 inhibitor,Serine/threonine-protein kinase PLK1
Tas-115,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
Abt-102,Vanilloid receptor antagonist,Vanilloid receptor
Gsk1482160,P2X purinoceptor 7 negative allosteric modulator,P2X purinoceptor 7
Avl-3288,Neuronal acetylcholine receptor protein alpha-7 subunit positive allosteric modulator,Neuronal acetylcholine receptor protein alpha-7 subunit
Mk-7246,G protein-coupled receptor 44 antagonist,G protein-coupled receptor 44
Cx1739,Glutamate receptor ionotropic AMPA positive allosteric modulator,Glutamate receptor ionotropic AMPA
Afimoxifene,Estrogen-related receptor gamma antagonist,Estrogen-related receptor gamma
At-9283,Serine/threonine-protein kinase Aurora-A inhibitor,Serine/threonine-protein kinase Aurora-A
Bms-690514,Epidermal growth factor receptor erbB1 inhibitor,Epidermal growth factor receptor erbB1
Lucitanib,Fibroblast growth factor receptor 1 inhibitor,Fibroblast growth factor receptor 1
Acalisib,PI3-kinase p110-delta subunit inhibitor,PI3-kinase p110-delta subunit
Galunisertib,TGF-beta receptor type I inhibitor,TGF-beta receptor type I
Tandutinib,Platelet-derived growth factor receptor beta inhibitor,Platelet-derived growth factor receptor beta
Osi-632,Vascular endothelial growth factor receptor 2 inhibitor,Vascular endothelial growth factor receptor 2
(7s)-Hydroxyl-Staurosporine,3-phosphoinositide dependent protein kinase-1 inhibitor,3-phosphoinositide dependent protein kinase-1
Krp203,Sphingosine 1-phosphate receptor Edg-1 agonist,Sphingosine 1-phosphate receptor Edg-1
Azd5672,C-C chemokine receptor type 5 antagonist,C-C chemokine receptor type 5
Amp579,Adenosine A1 receptor agonist,Adenosine A1 receptor
Rivenprost,Prostanoid EP4 receptor agonist,Prostanoid EP4 receptor
Tabimorelin,Ghrelin receptor agonist,Ghrelin receptor
Modimelanotide,Melanocortin receptor 1 agonist,Melanocortin receptor 1
Acumapimod,MAP kinase p38 alpha inhibitor,MAP kinase p38 alpha
Azd1305,Voltage-gated L-type calcium channel blocker,Voltage-gated L-type calcium channel
Aqw051,Neuronal acetylcholine receptor protein alpha-7 subunit partial agonist,Neuronal acetylcholine receptor protein alpha-7 subunit
Mapracorat,Glucocorticoid receptor agonist,Glucocorticoid receptor
Muraglitazar,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
Lestaurtinib,Neurotrophic tyrosine kinase receptor type 2 inhibitor,Neurotrophic tyrosine kinase receptor type 2
Dinaciclib,Cyclin-dependent kinase 9 inhibitor,Cyclin-dependent kinase 9
Pacritinib,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Pridopidine,Dopamine D2 receptor modulator,Dopamine D2 receptor
Grazoprevir,"Hepatitis C virus serine protease, NS3/NS4A inhibitor","Hepatitis C virus serine protease, NS3/NS4A"
Omarigliptin,Dipeptidyl peptidase IV inhibitor,Dipeptidyl peptidase IV
Niraparib,Poly [ADP-ribose] polymerase-1 inhibitor,Poly [ADP-ribose] polymerase-1
Pegsunercept,TNF-alpha inhibitor,TNF-alpha
Ar-20.5,Mucin-1 other,Mucin-1
Amg-108,Interleukin-1 receptor antagonist,Interleukin-1 receptor
Landogrozumab,Growth/differentiation factor 8 inhibitor,Growth/differentiation factor 8
Rg-7304,Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Dual specificity mitogen-activated protein kinase kinase 2
Darifenacin,Muscarinic acetylcholine receptor M3 antagonist,Muscarinic acetylcholine receptor M3
Aprotinin,Plasminogen inhibitor,Plasminogen
Fosinopril,Angiotensin-converting enzyme inhibitor,Angiotensin-converting enzyme
Clomipramine,Serotonin transporter inhibitor,Serotonin transporter
Nortriptyline,Serotonin transporter inhibitor,Serotonin transporter
Balsalazid,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
Somatrem,Growth hormone receptor agonist,Growth hormone receptor
Cyclobenzaprine,Serotonin 2a (5-HT2a) receptor antagonist,Serotonin 2a (5-HT2a) receptor
Levetiracetam,Synaptic vesicle glycoprotein 2A modulator,Synaptic vesicle glycoprotein 2A
Pyrazinamide,Fatty acid synthase inhibitor,Fatty acid synthase
Hydrocortisone Probutate,Glucocorticoid receptor agonist,Glucocorticoid receptor
Acarbose,Pancreatic alpha-amylase inhibitor,Pancreatic alpha-amylase
Venlafaxine,Norepinephrine transporter inhibitor,Norepinephrine transporter
Flucytosine,Thymidylate synthase inhibitor,Thymidylate synthase
Norethindrone,Progesterone receptor agonist,Progesterone receptor
Brimonidine,Adrenergic receptor alpha-2 agonist,Adrenergic receptor alpha-2
Tranylcypromine,Monoamine oxidase inhibitor,Monoamine oxidase
Anileridine,Kappa opioid receptor agonist,Kappa opioid receptor
Dyphylline,Phosphodiesterase 3A inhibitor,Phosphodiesterase 3A
Rifapentine,Bacterial DNA-directed RNA polymerase inhibitor,Bacterial DNA-directed RNA polymerase
Flucytosine,Thymidylate synthase inhibitor,Thymidylate synthase
Methamphetamine,Monoamine transporter inhibitor,Monoamine transporter
Midazolam,GABA-A receptor; anion channel positive allosteric modulator,GABA-A receptor; anion channel
Moxalactam,Bacterial penicillin-binding protein inhibitor,Bacterial penicillin-binding protein
Desflurane,Potassium channel subfamily K member 18 opener,Potassium channel subfamily K member 18
Procaine,Sodium channel alpha subunit blocker,Sodium channel alpha subunit
Cromolyn,Unknown,
Isotretinoin,Retinoic acid receptor agonist,Retinoic acid receptor
Metformin,Mitochondrial glycerol-3-phosphate dehydrogenase inhibitor,Mitochondrial glycerol-3-phosphate dehydrogenase
Pasireotide,Somatostatin receptor 5 agonist,Somatostatin receptor 5
Su-14813,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Hyodeoxycholic_Acid,LXR-beta agonist,LXR-beta
Ave0847,Peroxisome proliferator-activated receptor gamma agonist,Peroxisome proliferator-activated receptor gamma
As-602868,Tyrosine-protein kinase receptor FLT3 inhibitor,Tyrosine-protein kinase receptor FLT3
Sulfatinib,Fibroblast growth factor receptor 1 inhibitor,Fibroblast growth factor receptor 1
Panulisib,PI3-kinase class I inhibitor,PI3-kinase class I
Sar-260301,PI3-kinase p110-beta subunit inhibitor,PI3-kinase p110-beta subunit
Vx-970,Serine-protein kinase ATR inhibitor,Serine-protein kinase ATR
Xl-019,Tyrosine-protein kinase JAK2 inhibitor,Tyrosine-protein kinase JAK2
St1535,Adenosine A2a receptor antagonist,Adenosine A2a receptor
Cep-2563,Protein kinase C (PKC) inhibitor,Protein kinase C (PKC)
Azd8108,Glutamate [NMDA] receptor antagonist,Glutamate [NMDA] receptor
Sdx-101,Retinoid X receptor alpha modulator,Retinoid X receptor alpha
Enmd-2076,Macrophage colony stimulating factor receptor inhibitor,Macrophage colony stimulating factor receptor
Capmatinib,Hepatocyte growth factor receptor inhibitor,Hepatocyte growth factor receptor
Mavoglurant,Metabotropic glutamate receptor 5 antagonist,Metabotropic glutamate receptor 5
Ly545694,Metabotropic glutamate receptor 5 antagonist,Metabotropic glutamate receptor 5
Klh-2109,Gonadotropin-releasing hormone receptor antagonist,Gonadotropin-releasing hormone receptor
Davalintide,Calcitonin gene-related peptide type 1 receptor agonist,Calcitonin gene-related peptide type 1 receptor
Azd2624,Neurokinin 3 receptor antagonist,Neurokinin 3 receptor
Dovitinib,Stem cell growth factor receptor inhibitor,Stem cell growth factor receptor
Cebranopadol,Nociceptin receptor agonist,Nociceptin receptor
Teplizumab,T-cell surface glycoprotein CD3 epsilon chain other,T-cell surface glycoprotein CD3 epsilon chain
Cilansetron,Serotonin 3 (5-HT3) receptor antagonist,Serotonin 3 (5-HT3) receptor
Emicizumab,Coagulation factor IX and X other,Coagulation factor IX and X
Intetumumab,Integrin alpha-V/beta-5 antagonist,Integrin alpha-V/beta-5
