SYNONYMS,ATC_CODE,ATC_CODE_DESCRIPTION,INDICATION_CLASS
"Octisalate (INN, USAN, USP);",,,
"Sodium Ioxaglate (BAN); Ioxaglic Acid (BAN, INN, JAN, USAN, USP); Ioxaglate Meglumine (FDA, USAN); Ioxaglate Sodium (FDA, USAN);",V08AB03,"V08AB03 [VARIOUS: CONTRAST MEDIA: X-RAY CONTRAST MEDIA, IODINATED: Watersoluble, nephrotropic, low osmolar X-ray contrast media]",Diagnostic Aid (radiopaque medium)
"Clofazimine (BAN, FDA, INN, USAN, USP);",J04BA01,J04BA01 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIMYCOBACTERIALS: DRUGS FOR TREATMENT OF LEPRA: Drugs for treatment of lepra],Antibacterial (tuberculostatic); Antibacterial (leprostatic)
"Ioversol (BAN, FDA, INN, USAN, USP);",V08AB07,"V08AB07 [VARIOUS: CONTRAST MEDIA: X-RAY CONTRAST MEDIA, IODINATED: Watersoluble, nephrotropic, low osmolar X-ray contrast media]",Diagnostic Aid (radiopaque medium)
"Betamethasone Acibutate (BAN, INN);",,,
"Hydrocortamate (INN); Hydrocortamate HCl (FDA, MI);",,,
"Oxamniquine (BAN, FDA, INN, USAN, USP);",P02BA02,"P02BA02 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ANTHELMINTICS: ANTITREMATODALS: Quinoline derivatives and related substances]",Antischistosomal
Zuclomifene (INN); Zuclomiphene (USAN);,,,
"Colestipol HCl (FDA, USAN, USP);",C10AC02,"C10AC02 [CARDIOVASCULAR SYSTEM: LIPID MODIFYING AGENTS: LIPID MODIFYING AGENTS, PLAIN: Bile acid sequestrants]",Antihyperlipidemic
"Adalimumab (BAN, FDA, INN, USAN);",L04AB04,L04AB04 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSUPPRESSANTS: IMMUNOSUPPRESSANTS: Tumor necrosis factor alpha (TNF-&alpha;) inhibitors],
"Omeprazole magnesium (FDA, USAN); Omeprazole Sodium (USAN); Omeprazole (BAN, FDA, INN, JAN, USAN, USP);",A02BC01,A02BC01 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR ACID RELATED DISORDERS: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD): Proton pump inhibitors],"Antisecretory (gastric),Depressant (gastric acid secretory)"
"Naproxen (BAN, FDA, INN, JAN, USAN, USP); Naproxen Sodium (FDA, USAN, USP);",M02AA12; G02CC02; M01AE02,"M02AA12 [MUSCULO-SKELETAL SYSTEM: TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN: TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN: Antiinflammatory preparations, non-steroids for topical use]; G02CC02 [GENITO URINARY SYSTEM AND SEX HORMONES: OTHER GYNECOLOGICALS: OTHER GYNECOLOGICALS: Antiinflammatory products for vaginal administration]; M01AE02 [MUSCULO-SKELETAL SYSTEM: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS: Propionic acid derivatives]","Anti-Inflammatory; Antipyretic; Analgesic,Antipyretic; Anti-Inflammatory; Analgesic"
"Devazepide (INN, USAN);",,,Antagonist (cholecystokinin)
"Sampatrilat (BAN, INN);",,,
"Clonazepam (BAN, FDA, INN, JAN, USAN, USP);",N03AE01,N03AE01 [NERVOUS SYSTEM: ANTIEPILEPTICS: ANTIEPILEPTICS: Benzodiazepine derivatives],Anticonvulsant
"Risperidone (BAN, FDA, INN, USAN);",N05AX08,N05AX08 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Other antipsychotics],Neuroleptic
"Zafirlukast (BAN, FDA, INN, USAN);",R03DC01,R03DC01 [RESPIRATORY SYSTEM: DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES: OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES: Leukotriene receptor antagonists],Anti-Asthmatic (leukotriene antagonist)
"Diethylcarbamazine citrate (FDA, JAN, USP); Diethylcarbamazine (BAN, INN);",P02CB02,"P02CB02 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ANTHELMINTICS: ANTINEMATODAL AGENTS: Piperazine and derivatives]",Anthelmintic
"Anisindione (BAN, FDA, INN, MI, NF);",,,
"Ammonia (13N) (USAN, USP, FDA); Ammonia Water (JAN); Ammonia Solution, Strong (NF);",,,"Pharmaceutic Aid (solvent and source of ammonia),Radioactive Agent; Diagnostic Aid (cardiac imaging); Diagnostic Aid (liver imaging)"
"Colistimethate Sodium (BAN, FDA, INN, USAN, USP);",,,Antibacterial
"Basiliximab (BAN, FDA, INN, USAN);",L04AC02,L04AC02 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSUPPRESSANTS: IMMUNOSUPPRESSANTS: Interleukin inhibitors],
"Estrogens, Conjugated Synthetic B (FDA); Synthetic Conjugated Estrogens, B (USAN);",,,
"Cabazitaxel (FDA, INN, USAN);",L01CD04,L01CD04 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS: Taxanes],
Calcitonin Salmon (FDA);,,,
"Tositumomab (FDA, INN);",,,
Insulin Zinc Susp Beef (FDA);,,,
Insulin Zinc Susp Purified Beef/Pork (FDA);,,,
"Dornase Alfa (BAN, FDA, INN, USAN);",R05CB13,"R05CB13 [RESPIRATORY SYSTEM: COUGH AND COLD PREPARATIONS: EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS: Mucolytics]",Cystic Fibrosis Therapy Adjunct
"Infliximab (BAN, FDA, INN, USAN);",L04AB02,L04AB02 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSUPPRESSANTS: IMMUNOSUPPRESSANTS: Tumor necrosis factor alpha (TNF-&alpha;) inhibitors],
"Mecasermin Rinfabate (INN, USAN); Mecasermin Rinfabate Recombinant (FDA);",H01AC05,"H01AC05 [SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS: PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES: ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES: Somatropin and somatropin agonists]",
"Rilonacept (FDA, INN, USAN);",L04AC04,L04AC04 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: IMMUNOSUPPRESSANTS: IMMUNOSUPPRESSANTS: Interleukin inhibitors],
Perfluoropolymethylisopropyl Ether (FDA);,,,
"Finasteride (BAN, FDA, INN, USAN, USP);",D11AX10; G04CB01,D11AX10 [DERMATOLOGICALS: OTHER DERMATOLOGICAL PREPARATIONS: OTHER DERMATOLOGICAL PREPARATIONS: Other dermatologicals]; G04CB01 [GENITO URINARY SYSTEM AND SEX HORMONES: UROLOGICALS: DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY: Testosterone-5-alpha reductase inhibitors],Inhibitor (alpha reductase)
"Zolpidem (BAN, INN); Zolpidem Tartrate (FDA, USAN);",N05CF02,N05CF02 [NERVOUS SYSTEM: PSYCHOLEPTICS: HYPNOTICS AND SEDATIVES: Benzodiazepine related drugs],Sedative-Hypnotic
"Physostigmine Salicylate (JAN, USP); Physostigmine Sulfate (USP); Physostigmine (BAN, USP);",S01EB05; V03AB19,S01EB05 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIGLAUCOMA PREPARATIONS AND MIOTICS: Parasympathomimetics]; V03AB19 [VARIOUS: ALL OTHER THERAPEUTIC PRODUCTS: ALL OTHER THERAPEUTIC PRODUCTS: Antidotes],Cholinergic (ophthalmic)
"Topotecan (BAN, INN); Topotecan HCl (FDA, USAN);",L01XX17,L01XX17 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: OTHER ANTINEOPLASTIC AGENTS: Other antineoplastic agents],Antineoplastic (DNA topoisomerase I Inhibitor)
Z-160,,,
"Aprepitant (FDA, INN, USAN);",A04AD12,A04AD12 [ALIMENTARY TRACT AND METABOLISM: ANTIEMETICS AND ANTINAUSEANTS: ANTIEMETICS AND ANTINAUSEANTS: Other antiemetics],
LXR-623,,,
Acedoben (INN);,,,
Myristyl alcohol (NF);,,,Pharmaceutic Aid (stiffening agent)
"Hydroquinone (FDA, USP);",D11AX11,D11AX11 [DERMATOLOGICALS: OTHER DERMATOLOGICAL PREPARATIONS: OTHER DERMATOLOGICAL PREPARATIONS: Other dermatologicals],Depigmentor
"Cyclazocine (INN, USAN);",,,Analgesic
"Aleglitazar (INN, USAN);",,,
"Dofetilide (BAN, FDA, INN, USAN);",C01BD04,"C01BD04 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: ANTIARRHYTHMICS, CLASS I AND III: Antiarrhythmics, class III]",Cardiac Depressant (anti-arrhythmic)
"Pirenzepine (BAN, INN); Pirenzepine HCl (JAN, USAN);",A02BX03,A02BX03 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR ACID RELATED DISORDERS: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD): Other drugs for peptic ulcer and gastro-oesophageal reflux disease (GORD)],Anti-Ulcerative
"Rabeprazole (BAN, INN); Rabeprazole Sodium (FDA, USAN);",A02BC04; A02BC54,A02BC04 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR ACID RELATED DISORDERS: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD): Proton pump inhibitors]; A02BC54 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR ACID RELATED DISORDERS: DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD): Proton pump inhibitors],Anti-Ulcerative; Gastric Acid Pump Inhibitor
"Metoprolol (BAN, INN, USAN); Metoprolol Succinate (FDA, USAN, USP); Metoprolol Tartrate (FDA, JAN, USAN, USP); Metoprolol Fumarate (FDA, USAN, USP);",C07AB02,"C07AB02 [CARDIOVASCULAR SYSTEM: BETA BLOCKING AGENTS: BETA BLOCKING AGENTS: Beta blocking agents, selective]","Anti-Adrenergic (beta-receptor),Antihypertensive,Antihypertensive; Anti-Anginal"
"Amitriptyline (BAN, INN); Amitriptyline HCl (FDA, JAN, USP);",N06AA09,N06AA09 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Non-selective monoamine reuptake inhibitors],Antidepressant
"Filociclovir (INN, USAN);",,,
FK-453,,,
Trestolone Acetate (USAN); Trestolone (INN);,,,Androgen; Antineoplastic
"Methylphenobarbital (BAN, DCF, INN); Mephobarbital (JAN, USP);",N03AA01,N03AA01 [NERVOUS SYSTEM: ANTIEPILEPTICS: ANTIEPILEPTICS: Barbiturates and derivatives],Anticonvulsant; Sedative-Hypnotic
"Indapamide (BAN, FDA, INN, JAN, USAN, USP);",C03BA11,"C03BA11 [CARDIOVASCULAR SYSTEM: DIURETICS: LOW-CEILING DIURETICS, EXCL. THIAZIDES: Sulfonamides, plain]",Antihypertensive; Diuretic
Agomelatine (INN);,N06AX22,N06AX22 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Other antidepressants],
"Galantamine (BAN, INN, MI, USAN); Galantamine hydrobromide (FDA, USAN);",N06DA04,N06DA04 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTI-DEMENTIA DRUGS: Anticholinesterases],
Nitric acid (NF);,,,Pharmaceutic Aid (acidifying agent)
"Metronidazole (BAN, FDA, INN, JAN, USAN, USP); Metronidazole HCl (FDA, USAN); Metronidazole Benzoate (BAN, USP);",A01AB17; J01XD01; D06BX01; P01AB51; P01AB01; G01AF01,"A01AB17 [ALIMENTARY TRACT AND METABOLISM: STOMATOLOGICAL PREPARATIONS: STOMATOLOGICAL PREPARATIONS: Antiinfectives and antiseptics for local oral treatment]; J01XD01 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: OTHER ANTIBACTERIALS: Imidazole derivatives]; D06BX01 [DERMATOLOGICALS: ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE: CHEMOTHERAPEUTICS FOR TOPICAL USE: Other chemotherapeutics]; P01AB51 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ANTIPROTOZOALS: AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES: Nitroimidazole derivatives]; P01AB01 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ANTIPROTOZOALS: AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES: Nitroimidazole derivatives]; G01AF01 [GENITO URINARY SYSTEM AND SEX HORMONES: GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS: ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS: Imidazole derivatives]","Antibacterial,Antiprotozoal (trichomonas)"
Ethylparaben (NF); Ethyl Parahydroxybenzoate (JAN);,D01AE10,D01AE10 [DERMATOLOGICALS: ANTIFUNGALS FOR DERMATOLOGICAL USE: ANTIFUNGALS FOR TOPICAL USE: Other antifungals for topical use],Pharmaceutic Aid (antifungal agent)
"Trientine HCl (FDA, USAN, USP); Trientine Dihydrochloride (BAN); Trientine (INN);",A16AX12,A16AX12 [ALIMENTARY TRACT AND METABOLISM: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: Various alimentary tract and metabolism products],Chelating Agent
"Octanoic Acid (INN, USAN);",,,Antifungal
"Felbamate (FDA, INN, USAN);",N03AX10,N03AX10 [NERVOUS SYSTEM: ANTIEPILEPTICS: ANTIEPILEPTICS: Other antiepileptics],Anti-Epileptic
"Favipiravir (INN, USAN);",,,
"Lovastatin (BAN, FDA, INN, USAN, USP);",C10AA02,"C10AA02 [CARDIOVASCULAR SYSTEM: LIPID MODIFYING AGENTS: LIPID MODIFYING AGENTS, PLAIN: HMG CoA reductase inhibitors]",Inhibitor (HMG-CoA reductase); Antihyperlipidemic
"Apratastat (INN, USAN);",,,
"Promethazine (BAN, INN); Promethazine HCl (FDA, JAN, USP);",R06AD02; R06AD52; D04AA10,"R06AD02 [RESPIRATORY SYSTEM: ANTIHISTAMINES FOR SYSTEMIC USE: ANTIHISTAMINES FOR SYSTEMIC USE: Phenothiazine derivatives]; R06AD52 [RESPIRATORY SYSTEM: ANTIHISTAMINES FOR SYSTEMIC USE: ANTIHISTAMINES FOR SYSTEMIC USE: Phenothiazine derivatives]; D04AA10 [DERMATOLOGICALS: ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.: ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.: Antihistamines for topical use]",Antihistaminic; Anti-Emetic
"Amonafide (INN, USAN); Amonafide L-Malate (USAN);",,,
"Aminosalicylic acid (FDA, USP, FDA); Aminosalicylate Potassium (USP); Potassium Aminosalicylate (FDA); Aminosalicylate sodium (FDA, USP); Calcium Para-Aminosalicylate (JAN); Aminosalicylate Calcium (USP);",J04AA01,J04AA01 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIMYCOBACTERIALS: DRUGS FOR TREATMENT OF TUBERCULOSIS: Aminosalicylic acid and derivatives],Antibacterial (tuberculostatic)
"Enflurane (BAN, FDA, INN, JAN, USAN, USP);",N01AB04,"N01AB04 [NERVOUS SYSTEM: ANESTHETICS: ANESTHETICS, GENERAL: Halogenated hydrocarbons]",Anesthetic (inhalation)
"Alinidine (BAN, INN, MI);",,,
Divaplon (INN);,,,
"Clazolam (INN, USAN);",,,Tranquilizer (minor)
"Oxytocin (BAN, FDA, INN, JAN, USP);",H01BB02,"H01BB02 [SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS: PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES: POSTERIOR PITUITARY LOBE HORMONES: Oxytocin and analogues]",Oxytocic
"Cloguanamile (BAN); Cloguanamil (BAN, INN);",,,
"Nifurtoinol (INN, MI);",J01XE02,J01XE02 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: OTHER ANTIBACTERIALS: Nitrofuran derivatives],
"Denosumab (FDA, INN, USAN);",M05BX04,M05BX04 [MUSCULO-SKELETAL SYSTEM: DRUGS FOR TREATMENT OF BONE DISEASES: DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION: Other drugs affecting bone structure and mineralization],
Virginiamycin Factor M1 (MI);,,,
Diotyrosine (131I) (USAN); Diotyrosine (125I) (USAN);,H03BX01,"H03BX01 [SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS: THYROID THERAPY: ANTITHYROID PREPARATIONS: Other antithyroid preparations]",Radioactive Agent
"Enobosarm (INN, USAN);",,,
"Dichlorvos (BAN, INN, USAN);",,,Anthelmintic
Nifekalant (INN);,,,
Feloprentan (INN);,,,
"Istradefylline (INN, USAN);",,,
"Tiagabine (BAN, INN); Tiagabine HCl (FDA, USAN, USP);",N03AG06,N03AG06 [NERVOUS SYSTEM: ANTIEPILEPTICS: ANTIEPILEPTICS: Fatty acid derivatives],Anticonvulsant
"Miglustat (BAN, FDA, INN, USAN);",A16AX06,A16AX06 [ALIMENTARY TRACT AND METABOLISM: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS: Various alimentary tract and metabolism products],
"Axitirome (INN, USAN);",,,
Artemotil (INN);,P01BE04,"P01BE04 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ANTIPROTOZOALS: ANTIMALARIALS: Artemisinin and derivatives, plain]",
"Pentoxyverine (BAN, INN, DCF); Pentoxyverine Citrate (JAN); Carbetapentane Citrate (MI, NF);",R05DB05,"R05DB05 [RESPIRATORY SYSTEM: COUGH AND COLD PREPARATIONS: COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS: Other cough suppressants]",
"Lonaprisan (INN, USAN);",,,
"Mannitol (FDA, USP); D-Mannitol (JAN);",B05BC01; B05CX04; R05CB16; A06AD16,"B05BC01 [BLOOD AND BLOOD FORMING ORGANS: BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS: I.V. SOLUTIONS: Solutions producing osmotic diuresis]; B05CX04 [BLOOD AND BLOOD FORMING ORGANS: BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS: IRRIGATING SOLUTIONS: Other irrigating solutions]; R05CB16 [RESPIRATORY SYSTEM: COUGH AND COLD PREPARATIONS: EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS: Mucolytics]; A06AD16 [ALIMENTARY TRACT AND METABOLISM: DRUGS FOR CONSTIPATION: DRUGS FOR CONSTIPATION: Osmotically acting laxatives]",Diagnostic Aid (renal function determination); Diuretic
"Bismuth subgallate (JAN, USAN, USP);",,,
"Indometacin (BAN, DCF, INN, JAN); Indometacin Farnesil (JAN); Indomethacin Sodium (FDA, USAN, USP); Indomethacin (FDA, USAN, USP);",M01AB01; M02AA23; C01EB03; M01AB51; S01BC01,"M01AB01 [MUSCULO-SKELETAL SYSTEM: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS: Acetic acid derivatives and related substances]; M02AA23 [MUSCULO-SKELETAL SYSTEM: TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN: TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN: Antiinflammatory preparations, non-steroids for topical use]; C01EB03 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: OTHER CARDIAC PREPARATIONS: Other cardiac preparations]; M01AB51 [MUSCULO-SKELETAL SYSTEM: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS: Acetic acid derivatives and related substances]; S01BC01 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIINFLAMMATORY AGENTS: Antiinflammatory agents, non-steroids]",Anti-Inflammatory
"Timolol Maleate (FDA, JAN, USAN, USP); Timolol (BAN, FDA, INN, USAN);",S01ED51; C07AA06; S01ED01,"S01ED51 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIGLAUCOMA PREPARATIONS AND MIOTICS: Beta blocking agents 1)]; C07AA06 [CARDIOVASCULAR SYSTEM: BETA BLOCKING AGENTS: BETA BLOCKING AGENTS: Beta blocking agents, non-selective]; S01ED01 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIGLAUCOMA PREPARATIONS AND MIOTICS: Beta blocking agents 1)]",Anti-Adrenergic (beta-receptor)
"Sulindac (BAN, FDA, INN, JAN, USAN, USP);",M01AB02,"M01AB02 [MUSCULO-SKELETAL SYSTEM: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS: ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS: Acetic acid derivatives and related substances]",Anti-Inflammatory
"Clonidine (BAN, FDA, INN, USAN, USP); Clonidine HCl (BAN, FDA, JAN, USAN, USP);",S01EA04; C02AC01; N02CX02,"S01EA04 [SENSORY ORGANS: OPHTHALMOLOGICALS: ANTIGLAUCOMA PREPARATIONS AND MIOTICS: Sympathomimetics in glaucoma therapy 1)]; C02AC01 [CARDIOVASCULAR SYSTEM: ANTIHYPERTENSIVES: ANTIADRENERGIC AGENTS, CENTRALLY ACTING: Imidazoline receptor agonists]; N02CX02 [NERVOUS SYSTEM: ANALGESICS: ANTIMIGRAINE PREPARATIONS: Other antimigraine preparations]",Antihypertensive
"Chloracyzine (DCF, INN, MI);",,,
"Haloperidol Decanoate (BAN, FDA, JAN, USAN);",N05AD01,N05AD01 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Butyrophenone derivatives],Antipsychotic
"Hydroxypropyl Cellulose (FDA, INN, NF);",,,Pharmaceutic Aid (emulsifying agent); Pharmaceutic Aid (tablet coating agent); Protectant (topical)
"Lypressin (BAN, FDA, INN, USAN, USP);",H01BA03,"H01BA03 [SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS: PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES: POSTERIOR PITUITARY LOBE HORMONES: Vasopressin and analogues]",Antidiuretic; Vasoconstrictor
"Sofinicline (INN, USAN); Sofinicline Benzenesulfonate (USAN);",,,
"Parbendazole (BAN, INN, USAN);",,,Anthelmintic
"Arginine (INN, USP);",,,Ammonia Detoxicant; Diagnostic Aid (pituitary function determination)
Benzotript (INN);,,,
"Nitroscanate (BAN, INN, USAN);",,,Anthelmintic (veterinary)
"Fipexide (DCF, INN, MI);",N06BX05,"N06BX05 [NERVOUS SYSTEM: PSYCHOANALEPTICS: PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS: Other psychostimulants and nootropics]",
"Diphenylpyraline (BAN, INN); Diphenylpyraline Teoclate (JAN); Diphenylpyraline HCl (FDA, JAN, MI, USP);",R06AA07; R06AA57,R06AA07 [RESPIRATORY SYSTEM: ANTIHISTAMINES FOR SYSTEMIC USE: ANTIHISTAMINES FOR SYSTEMIC USE: Aminoalkyl ethers]; R06AA57 [RESPIRATORY SYSTEM: ANTIHISTAMINES FOR SYSTEMIC USE: ANTIHISTAMINES FOR SYSTEMIC USE: Aminoalkyl ethers],
Levofenfluramine (INN);,,,
"Enoximone (BAN, INN, USAN);",C01CE03,C01CE03 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES: Phosphodiesterase inhibitors],Cardiotonic
"Dihydroergotamine (BAN, INN); Dihydroergotamine Mesylate (FDA, USAN, USP); Dihydroergotamine Mesilate (JAN);",N02CA51; N02CA01,N02CA51 [NERVOUS SYSTEM: ANALGESICS: ANTIMIGRAINE PREPARATIONS: Ergot alkaloids]; N02CA01 [NERVOUS SYSTEM: ANALGESICS: ANTIMIGRAINE PREPARATIONS: Ergot alkaloids],Anti-Adrenergic
"Prinaberel (INN, USAN);",,,
"Cyclovalone (INN, MI);",,,
Otenzepad (INN);,,,
"Dibenzepin (BAN, INN); Dibenzepin HCl (USAN);",N06AA08,N06AA08 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Non-selective monoamine reuptake inhibitors],Antidepressant
"Ovemotide (INN, USAN);",,,
"Floxacillin (USAN); Flucloxacillin Sodium (JAN); Flucloxacillin (BAN, INN);",J01CF05,"J01CF05 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: BETA-LACTAM ANTIBACTERIALS, PENICILLINS: Beta-lactamase resistant penicillins]",Antibacterial
Bergenin (JAN);,,,
Tefludazine (INN);,,,
Ersentilide (INN);,,,
"Phenethicillin Potassium (JAN, MI, USP); Pheneticillin (BAN, INN);",J01CE05,"J01CE05 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIBACTERIALS FOR SYSTEMIC USE: BETA-LACTAM ANTIBACTERIALS, PENICILLINS: Beta-lactamase sensitive penicillins]",
"Thiethylperazine Malate (FDA, USP); Thiethylperazine (BAN, INN, USAN); Thietylperazine Malate (JAN); Thiethylperazine Maleate (FDA, USAN, USP); Thietylperazine Maleate (JAN);",R06AD03,R06AD03 [RESPIRATORY SYSTEM: ANTIHISTAMINES FOR SYSTEMIC USE: ANTIHISTAMINES FOR SYSTEMIC USE: Phenothiazine derivatives],Anti-Emetic
"Atagabalin (INN, USAN);",,,
"Ivabradine hydrochloride (FDA, USAN); Ivabradine (INN, USAN);",C01EB17,C01EB17 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: OTHER CARDIAC PREPARATIONS: Other cardiac preparations],
"Moroxydine (BAN, DCF, INN, MI);",J05AX01,J05AX01 [ANTIINFECTIVES FOR SYSTEMIC USE: ANTIVIRALS FOR SYSTEMIC USE: DIRECT ACTING ANTIVIRALS: Other antivirals],
"Potassium Canrenoate (INN, JAN); Canrenoate Potassium (USAN); Canrenoic Acid (BAN, INN);",,,Aldosterone Antagonist
"Dactinomycin (BAN, FDA, INN, USAN, USP); Actinomycin D (JAN);",L01DA01,L01DA01 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES: Actinomycines],Antineoplastic
Soneclosan (INN);,,,
"Hydrochloric Acid (JAN, NF);",B05XA13; A09AB03,"B05XA13 [BLOOD AND BLOOD FORMING ORGANS: BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS: I.V. SOLUTION ADDITIVES: Electrolyte solutions]; A09AB03 [ALIMENTARY TRACT AND METABOLISM: DIGESTIVES, INCL. ENZYMES: DIGESTIVES, INCL. ENZYMES: Acid preparations]",Pharmaceutic Aid (acidifying agent)
Naftopidil (INN);,,,
Pirimiphos-Ethyl (BAN);,,,
"Triaziquone (BAN, INN, MI);",L01AC02,L01AC02 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ANTINEOPLASTIC AGENTS: ALKYLATING AGENTS: Ethylene imines],
